Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL,Exit Reason
NIFTY BANK,Short,2021-12-10 09:15:00,37008.3,2021-12-10 09:20:00,37083.15,-74.85,-2262.90,StopLoss
NIFTY BANK,Short,2021-12-13 12:55:00,37046.85,2021-12-13 13:20:00,37139.4,-92.55,-2355.45,StopLoss
NIFTY BANK,Short,2021-12-15 09:45:00,36840.5,2021-12-15 09:50:00,36885.65,-45.15,-2400.60,StopLoss
NIFTY BANK,Short,2021-12-16 09:30:00,36936.05,2021-12-16 10:00:00,36836.05,100.00,-2300.60,TakeProfit
NIFTY BANK,Short,2021-12-21 09:35:00,34630.2,2021-12-21 09:40:00,34720.0,-89.8,-2390.40,StopLoss
NIFTY BANK,Short,2021-12-22 10:25:00,34700.75,2021-12-22 10:30:00,34771.55,-70.80,-2461.20,StopLoss
NIFTY BANK,Short,2021-12-24 09:15:00,35069.45,2021-12-24 09:30:00,34969.45,100.00,-2361.20,TakeProfit
NIFTY BANK,Long,2021-12-27 12:20:00,34923.95,2021-12-27 12:40:00,35023.95,100.00,-2261.20,TakeProfit
NIFTY BANK,Long,2021-12-29 09:15:00,35253.1,2021-12-29 09:45:00,35353.1,100.0,-2161.20,TakeProfit
NIFTY BANK,Long,2021-12-30 09:15:00,34981.6,2021-12-30 13:05:00,35081.6,100.0,-2061.20,TakeProfit
NIFTY BANK,Long,2022-01-05 09:15:00,37062.1,2022-01-05 09:25:00,37162.1,100.0,-1961.20,TakeProfit
NIFTY BANK,Long,2022-01-06 09:15:00,37249.8,2022-01-06 09:20:00,37349.8,100.0,-1861.20,TakeProfit
NIFTY BANK,Long,2022-01-07 12:45:00,37526.65,2022-01-07 13:00:00,37626.65,100.00,-1761.20,TakeProfit
NIFTY BANK,Short,2022-01-11 09:15:00,38303.25,2022-01-11 09:35:00,38203.25,100.00,-1661.20,TakeProfit
NIFTY BANK,Short,2022-01-13 09:15:00,38551.9,2022-01-13 10:10:00,38451.9,100.0,-1561.20,TakeProfit
NIFTY BANK,Long,2022-01-17 09:15:00,38532.25,2022-01-17 12:15:00,38210.9,-321.35,-1882.55,StopLoss
NIFTY BANK,Long,2022-01-18 09:15:00,38338.55,2022-01-18 09:25:00,38438.55,100.00,-1782.55,TakeProfit
NIFTY BANK,Long,2022-01-19 10:15:00,38283.2,2022-01-19 10:25:00,38165.65,-117.55,-1900.10,StopLoss
NIFTY BANK,Short,2022-01-20 09:15:00,38093.3,2022-01-20 09:30:00,38133.0,-39.7,-1939.80,StopLoss
NIFTY BANK,Long,2022-01-24 09:15:00,37633.05,2022-01-24 09:30:00,37434.2,-198.85,-2138.65,StopLoss
NIFTY BANK,Long,2022-01-25 09:25:00,36873.05,2022-01-25 09:35:00,36973.05,100.00,-2038.65,TakeProfit
NIFTY BANK,Long,2022-01-27 09:15:00,37096.9,2022-01-27 09:20:00,37196.9,100.0,-1938.65,TakeProfit
NIFTY BANK,Short,2022-01-28 14:00:00,37902.75,2022-01-28 14:05:00,37802.75,100.00,-1838.65,TakeProfit
NIFTY BANK,Short,2022-01-31 09:25:00,37991.3,2022-01-31 09:30:00,38053.55,-62.25,-1900.90,StopLoss
NIFTY BANK,Short,2022-02-01 13:10:00,37761.7,2022-02-01 13:25:00,38137.45,-375.75,-2276.65,StopLoss
NIFTY BANK,Long,2022-02-03 09:15:00,39346.25,2022-02-03 09:35:00,39217.1,-129.15,-2405.80,StopLoss
NIFTY BANK,Short,2022-02-04 09:15:00,38979.35,2022-02-04 09:20:00,39128.0,-148.65,-2554.45,StopLoss
NIFTY BANK,Long,2022-02-07 09:15:00,38772.55,2022-02-07 11:00:00,38532.8,-239.75,-2794.20,StopLoss
NIFTY BANK,Short,2022-02-08 09:15:00,38063.85,2022-02-08 09:20:00,37963.85,100.00,-2694.20,TakeProfit
NIFTY BANK,Short,2022-02-10 09:55:00,38533.7,2022-02-10 10:05:00,38646.15,-112.45,-2806.65,StopLoss
NIFTY BANK,Long,2022-02-15 09:15:00,37107.95,2022-02-15 09:25:00,36930.05,-177.90,-2984.55,StopLoss
NIFTY BANK,Short,2022-02-16 10:50:00,37871.2,2022-02-16 11:00:00,37771.2,100.0,-2884.55,TakeProfit
NIFTY BANK,Long,2022-02-17 09:15:00,38072.95,2022-02-17 09:25:00,37954.3,-118.65,-3003.20,StopLoss
NIFTY BANK,Long,2022-02-18 09:30:00,37583.45,2022-02-18 09:35:00,37526.25,-57.20,-3060.40,StopLoss
NIFTY BANK,Long,2022-02-21 10:35:00,37585.35,2022-02-21 10:40:00,37685.35,100.00,-2960.40,TakeProfit
NIFTY BANK,Long,2022-02-22 14:30:00,37602.0,2022-02-22 14:35:00,37551.8,-50.2,-3010.60,StopLoss
NIFTY BANK,Long,2022-02-25 09:15:00,36071.3,2022-02-25 09:20:00,36171.3,100.0,-2910.60,TakeProfit
NIFTY BANK,Long,2022-02-28 12:05:00,36222.2,2022-02-28 12:10:00,36169.75,-52.45,-2963.05,StopLoss
NIFTY BANK,Short,2022-03-03 09:35:00,35413.1,2022-03-03 09:45:00,35313.1,100.0,-2863.05,TakeProfit
NIFTY BANK,Long,2022-03-04 13:25:00,35059.95,2022-03-04 13:30:00,34945.0,-114.95,-2978.00,StopLoss
NIFTY BANK,Long,2022-03-08 14:45:00,32974.35,2022-03-08 14:55:00,33074.35,100.00,-2878.00,TakeProfit
NIFTY BANK,Short,2022-03-09 09:15:00,33012.1,2022-03-09 12:25:00,33292.85,-280.75,-3158.75,StopLoss
NIFTY BANK,Long,2022-03-11 09:25:00,34611.7,2022-03-11 09:30:00,34711.7,100.0,-3058.75,TakeProfit
NIFTY BANK,Short,2022-03-15 09:50:00,35244.0,2022-03-15 09:55:00,35288.45,-44.45,-3103.20,StopLoss
NIFTY BANK,Short,2022-03-21 09:15:00,36275.65,2022-03-21 09:40:00,36175.65,100.00,-3003.20,TakeProfit
NIFTY BANK,Long,2022-03-22 13:10:00,36138.0,2022-03-22 13:50:00,36238.0,100.0,-2903.20,TakeProfit
NIFTY BANK,Short,2022-03-23 12:00:00,36264.45,2022-03-23 12:10:00,36303.35,-38.90,-2942.10,StopLoss
NIFTY BANK,Short,2022-03-25 09:15:00,35500.5,2022-03-25 09:20:00,35400.5,100.0,-2842.10,TakeProfit
NIFTY BANK,Short,2022-03-28 09:15:00,35263.9,2022-03-28 09:20:00,35163.9,100.0,-2742.10,TakeProfit
NIFTY BANK,Short,2022-03-29 13:10:00,35674.9,2022-03-29 13:15:00,35574.9,100.0,-2642.10,TakeProfit
NIFTY BANK,Short,2022-03-31 09:25:00,36303.6,2022-03-31 09:30:00,36362.85,-59.25,-2701.35,StopLoss
NIFTY BANK,Long,2022-04-01 09:15:00,36456.8,2022-04-01 09:45:00,36556.8,100.0,-2601.35,TakeProfit
NIFTY BANK,Short,2022-04-05 09:15:00,38413.15,2022-04-05 09:35:00,38313.15,100.00,-2501.35,TakeProfit
NIFTY BANK,Short,2022-04-07 11:10:00,37562.5,2022-04-07 11:25:00,37625.7,-63.2,-2564.55,StopLoss
NIFTY BANK,Short,2022-04-08 09:15:00,37607.55,2022-04-08 09:30:00,37507.55,100.00,-2464.55,TakeProfit
NIFTY BANK,Short,2022-04-11 09:15:00,37582.2,2022-04-11 09:30:00,37664.3,-82.1,-2546.65,StopLoss
NIFTY BANK,Long,2022-04-12 14:05:00,37719.9,2022-04-12 14:30:00,37819.9,100.0,-2446.65,TakeProfit
NIFTY BANK,Short,2022-04-13 10:25:00,37732.6,2022-04-13 10:30:00,37761.8,-29.2,-2475.85,StopLoss
NIFTY BANK,Short,2022-04-19 09:20:00,36792.05,2022-04-19 09:30:00,36847.45,-55.40,-2531.25,StopLoss
NIFTY BANK,Short,2022-04-20 09:15:00,36343.15,2022-04-20 09:25:00,36243.15,100.00,-2431.25,TakeProfit
NIFTY BANK,Long,2022-04-25 10:05:00,36118.65,2022-04-25 10:10:00,36218.65,100.00,-2331.25,TakeProfit
NIFTY BANK,Long,2022-04-28 09:25:00,36085.1,2022-04-28 10:25:00,36016.05,-69.05,-2400.30,StopLoss
NIFTY BANK,Long,2022-04-29 09:50:00,36398.45,2022-04-29 10:05:00,36352.85,-45.60,-2445.90,StopLoss
NIFTY BANK,Long,2022-05-02 14:45:00,36151.35,2022-05-02 15:15:00,36178.0,26.65,-2419.25,EOD SquareOff
NIFTY BANK,Short,2022-05-04 10:20:00,36082.3,2022-05-04 10:35:00,36119.95,-37.65,-2456.90,StopLoss
NIFTY BANK,Short,2022-05-05 09:15:00,35700.65,2022-05-05 09:20:00,35600.65,100.00,-2356.90,TakeProfit
NIFTY BANK,Long,2022-05-10 09:15:00,34443.7,2022-05-10 12:10:00,34543.7,100.0,-2256.90,TakeProfit
NIFTY BANK,Long,2022-05-11 09:45:00,34560.05,2022-05-11 09:50:00,34477.9,-82.15,-2339.05,StopLoss
NIFTY BANK,Short,2022-05-13 09:15:00,33792.0,2022-05-13 09:25:00,33939.5,-147.5,-2486.55,StopLoss
NIFTY BANK,Short,2022-05-16 09:15:00,33132.75,2022-05-16 09:20:00,33267.4,-134.65,-2621.20,StopLoss
NIFTY BANK,Short,2022-05-18 12:45:00,34243.1,2022-05-18 13:00:00,34297.6,-54.5,-2675.70,StopLoss
NIFTY BANK,Long,2022-05-24 09:15:00,34364.65,2022-05-24 09:20:00,34464.65,100.00,-2575.70,TakeProfit
NIFTY BANK,Short,2022-05-25 13:45:00,34377.7,2022-05-25 13:50:00,34417.35,-39.65,-2615.35,StopLoss
NIFTY BANK,Short,2022-05-26 10:30:00,34488.8,2022-05-26 12:10:00,34545.0,-56.2,-2671.55,StopLoss
NIFTY BANK,Long,2022-05-31 10:55:00,35860.2,2022-05-31 11:15:00,35814.8,-45.4,-2716.95,StopLoss
NIFTY BANK,Long,2022-06-01 09:15:00,35534.9,2022-06-01 09:30:00,35634.9,100.0,-2616.95,TakeProfit
