Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL
NIFTY 50,Short,2024-07-26 11:25:00,24639.55,2024-07-26 12:30:00,24692.25,-52.70,-398.35
NIFTY 50,Short,2024-07-26 12:55:00,24716.35,2024-07-26 13:00:00,24725.65,-9.30,-407.65
NIFTY 50,Short,2024-07-26 13:40:00,24795.55,2024-07-26 14:55:00,24828.35,-32.80,-440.45
NIFTY 50,Long,2024-08-05 11:25:00,24006.5,2024-08-05 12:35:00,23942.65,-63.85,-504.30
NIFTY 50,Short,2024-09-12 15:15:00,25365.45,2024-09-13 10:30:00,25363.85,1.60,-502.70
NIFTY 50,Short,2024-11-06 09:50:00,24359.75,2024-11-06 10:00:00,24401.2,-41.45,-544.15
NIFTY 50,Long,2024-11-21 09:50:00,23310.75,2024-11-21 12:45:00,23339.35,28.60,-515.55
NIFTY 50,Short,2024-11-22 09:35:00,23437.2,2024-11-22 09:40:00,23463.75,-26.55,-542.10
NIFTY 50,Long,2024-12-13 10:40:00,24233.15,2024-12-13 10:45:00,24217.9,-15.25,-557.35
NIFTY 50,Long,2024-12-13 10:50:00,24230.15,2024-12-13 13:15:00,24608.35,378.20,-179.15
NIFTY 50,Short,2025-01-02 13:25:00,24099.85,2025-01-02 13:35:00,24137.0,-37.15,-216.30
NIFTY 50,Short,2025-03-05 12:40:00,22372.3,2025-03-05 14:35:00,22337.5,34.8,-181.50
NIFTY 50,Short,2025-03-18 10:45:00,22759.15,2025-03-18 11:30:00,22770.1,-10.95,-192.45
NIFTY 50,Short,2025-03-19 09:20:00,22811.75,2025-03-19 10:15:00,22899.35,-87.60,-280.05
NIFTY 50,Short,2025-03-20 14:05:00,23186.65,2025-03-20 14:25:00,23209.95,-23.30,-303.35
NIFTY 50,Short,2025-04-17 13:25:00,23775.3,2025-04-17 13:35:00,23807.1,-31.8,-335.15
NIFTY 50,Short,2025-04-17 14:10:00,23831.15,2025-04-21 09:15:00,23960.4,-129.25,-464.40
NIFTY 50,Short,2025-04-21 09:45:00,23994.15,2025-04-21 09:55:00,24031.55,-37.40,-501.80
NIFTY 50,Short,2025-05-12 10:30:00,24687.75,2025-05-12 11:25:00,24733.3,-45.55,-547.35
NIFTY 50,Short,2025-05-15 14:30:00,25058.25,2025-05-16 11:30:00,24994.45,63.80,-483.55
